CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade,@odata.context,cnpj
0804,Custódia de cheque pré-datado,por operacao,2009-12-31,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",36321990
0805,Rescisão Contratual (Quitação Antecipada),Por Operação,2009-12-31,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",36321990
0901,Segunda via de documento,por copia,1996-07-25,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",36321990
0902,Ressarcimento de despesas-telefonema,por chamada,1996-07-25,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",36321990
0903,Ressarcimento de despesas-fax,por folha,1996-07-25,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",36321990
0904,Envelopamento de documentos,por envelope,1996-07-25,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",36321990
0905,Pagamento de funcionários via relação,por funcionario,1996-07-25,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",36321990
0101,Confecção de ficha cadastral,por cliente,2016-10-16,150.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0102,Renovação de ficha cadastral,por cliente,2016-10-16,70.0,Real,A cada 360 dias,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0103,Consultas a serviços de proteção ao crédito,por consulta,2016-10-16,40.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0313,"Cobrança de Cheque por compensação com Vl. = ou > R$ 5.000,00(Vl.fx+%)",por cheque,2016-10-16,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0502,Emissão de DOC C,por operacao,2016-10-16,20.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0503,Emissão de DOC D,por operacao,2016-10-16,20.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0504,Ordem de Pagamento,por operacao,2016-10-16,60.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0505,Depósito em outra agência,por operacao,2016-10-16,60.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0506,Transferência Eletrônica Disponível - TED,Por Operação,2016-10-16,20.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0705,Envio para protesto,por titulo,2016-10-16,50.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0706,Sustação de protesto,por titulo,2016-10-16,50.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0707,Devolução de título,por titulo,2016-10-16,20.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0801,Abertura de crédito,por operacao,2016-10-16,200.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0802,Renegociação de dívida,por operacao,2016-10-16,80.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0803,Substituição de garantia,por operacao,2016-10-16,120.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0901,Segunda via de documento,por copia,2016-10-16,15.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",23862762
0101,Confecção de ficha cadastral,por cliente,2020-06-15,50000.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",27214112
0102,Renovação de ficha cadastral,por cliente,2020-06-15,50000.0,Real,A cada 365 dias,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",27214112
0801,Abertura de crédito,por operacao,2021-03-29,3.0,Percentual,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",27214112
0802,Renegociação de dívida,por operacao,2021-03-29,3.0,Percentual,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",27214112
0803,Substituição de garantia,por operacao,2020-06-15,30000.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",27214112
0804,Custódia de cheque pré-datado,por operacao,2020-06-15,300.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",27214112
0901,Segunda via de documento,por copia,2017-11-24,50.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",27214112
0101,Confecção de ficha cadastral,por cliente,2013-09-27,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",03532415
0102,Renovação de ficha cadastral,por cliente,2013-09-27,0.0,Real,A cada 0 dias,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",03532415
0103,Consultas a serviços de proteção ao crédito,por consulta,2013-09-27,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",03532415
0502,Emissão de DOC C,por operacao,2013-09-26,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",03532415
0503,Emissão de DOC D,por operacao,2013-09-26,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",03532415
0506,Transferência Eletrônica Disponível - TED,Por Operação,2013-09-26,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",03532415
0801,Abertura de crédito,por operacao,2013-09-26,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",03532415
0802,Renegociação de dívida,por operacao,2013-09-27,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",03532415
0803,Substituição de garantia,por operacao,2013-09-26,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",03532415
0805,Rescisão Contratual (Quitação Antecipada),Por Operação,2013-09-26,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",03532415
1001,Exportação: Edição de Contrato de Câmbio,Por Operação,2017-03-28,500.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",03532415
0101,Confecção de ficha cadastral,por cliente,2017-08-17,200.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0102,Renovação de ficha cadastral,por cliente,2017-08-17,200.0,Real,A cada 360 dias,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0103,Consultas a serviços de proteção ao crédito,por consulta,1996-07-25,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0301,Talão-10 folhas,por talao,2017-08-17,10.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0302,Talão-20 folhas (segundo talão no mês),por talao,2017-08-17,20.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0303,Cheque administrativo,por cheque,2015-01-08,30.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0304,Cheque avulso,por cheque,2017-08-17,15.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0305,Cheque devolvido por insuficiência de fundos,por cheque,2014-03-11,30.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0306,Oposição/sustação de pagamento de cheque,por cheque,2014-03-11,30.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0308,Inclusão no Cadastro de Cheques sem Fundo,por cheque,2015-01-08,40.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0309,Exclusão do Cadastro de Cheques sem Fundo,por cheque,2017-08-17,100.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0310,Cobrança de cheque por compensação,por cheque,1996-07-25,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0311,Cheque TB (Transferência Bancária sem CPMF),por cheque,1996-07-25,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0312,"Cheque Administrativo com vl.igual ou superior a R$5.000,00 (vl.fx.+%)",Por Cheque,2009-12-14,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0313,"Cobrança de Cheque por compensação com Vl. = ou > R$ 5.000,00(Vl.fx+%)",por cheque,2004-08-01,10.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0314,"Cheque TB com valor igual ou superior R$ 5.000,00 (vl.fixo + %)",por cheque,2004-08-01,10.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0401,Abertura de conta,por conta,2004-07-01,30.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0402,Manutenção de conta ativa,por conta,2017-08-17,30.0,Real,A cada 30 dias,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0403,Manutenção de conta inativa,por conta,2014-03-11,100.0,Real,A cada 180 dias,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0404,"Adiant. a deposit., incl. excesso limite de ch. especial",por operacao,2005-04-15,15.0,Percentual,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0405,Concessão de cheque especial/conta garantida,por conta,2017-08-17,30.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0406,Renovação de cheque especial/conta garantida,por conta,2017-08-17,60.0,Real,A cada 120 dias,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0407,Débito autorizado em conta-corrente,por operacao,2017-08-17,10.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0505,Depósito em outra agência,por operacao,1996-07-25,0.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0506,Transferência Eletrônica Disponível - TED,Por Operação,2017-08-17,20.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
0603,"Cópias de microfilmes, microfichas ou assemelhados",por emissao,2017-08-17,10.0,Real,Por evento,"https://was-p.bcnet.bcb.gov.br/olinda/servico/Informes_ListaTarifasPorInstituicaoFinanceira/versao/v1/odata$metadata#_ListaTarifasPorInstituicaoFinanceira(CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade)",33042151
