codigo_servico,servico,unidade,data_vigencia,valor_maximo,tipo_valor,periodicidade,cnpj
0304,cheque avulso,por cheque,2017-08-17,15.0,real,por evento,33042151
0305,cheque devolvido por insuficiência de fundos,por cheque,2014-03-11,30.0,real,por evento,33042151
0306,oposição/sustação de pagamento de cheque,por cheque,2014-03-11,30.0,real,por evento,33042151
0308,inclusão no cadastro de cheques sem fundo,por cheque,2015-01-08,40.0,real,por evento,33042151
0309,exclusão do cadastro de cheques sem fundo,por cheque,2017-08-17,100.0,real,por evento,33042151
0310,cobrança de cheque por compensação,por cheque,1996-07-25,0.0,real,por evento,33042151
0311,cheque tb (transferência bancária sem cpmf),por cheque,1996-07-25,0.0,real,por evento,33042151
0312,"cheque administrativo com vl.igual ou superior a r$5.000,00 (vl.fx.+%)",por cheque,2009-12-14,0.0,real,por evento,33042151
0313,"cobrança de cheque por compensação com vl. = ou > r$ 5.000,00(vl.fx+%)",por cheque,2004-08-01,10.0,real,por evento,33042151
0314,"cheque tb com valor igual ou superior r$ 5.000,00 (vl.fixo + %)",por cheque,2004-08-01,10.0,real,por evento,33042151
0401,abertura de conta,por conta,2004-07-01,30.0,real,por evento,33042151
0402,manutenção de conta ativa,por conta,2017-08-17,30.0,real,a cada 30 dias,33042151
0403,manutenção de conta inativa,por conta,2014-03-11,100.0,real,a cada 180 dias,33042151
0404,"adiant. a deposit., incl. excesso limite de ch. especial",por operacao,2005-04-15,15.0,percentual,por evento,33042151
0405,concessão de cheque especial/conta garantida,por conta,2017-08-17,30.0,real,por evento,33042151
0406,renovação de cheque especial/conta garantida,por conta,2017-08-17,60.0,real,a cada 120 dias,33042151
0407,débito autorizado em conta-corrente,por operacao,2017-08-17,10.0,real,por evento,33042151
0505,depósito em outra agência,por operacao,1996-07-25,0.0,real,por evento,33042151
0506,transferência eletrônica disponível - ted,por operacao,2017-08-17,20.0,real,por evento,33042151
0603,"cópias de microfilmes, microfichas ou assemelhados",por emissao,2017-08-17,10.0,real,por evento,33042151
0701,entrada por borderô (listagem de titulos),por titulo,2017-08-17,10.0,real,por evento,33042151
0702,entrada por meio magnético,por titulo,2017-08-17,10.0,real,por evento,33042151
0703,entrada sem registro - por boleto emitido pelo cliente,por titulo,2017-08-17,10.0,real,por evento,33042151
0704,manutenção de título vencido,por titulo,2004-07-01,0.0,real,a cada 0 dias,33042151
0705,envio para protesto,por titulo,2017-08-17,10.0,real,por evento,33042151
0706,sustação de protesto,por titulo,2017-08-17,10.0,real,por evento,33042151
0707,devolução de título,por titulo,2017-08-17,10.0,real,por evento,33042151
0801,abertura de crédito,por operacao,2004-07-01,0.0,real,por evento,33042151
0802,renegociação de dívida,por operacao,2004-07-01,0.0,real,por evento,33042151
0803,substituição de garantia,por operacao,2004-07-01,0.0,real,por evento,33042151
0804,custódia de cheque pré-datado,por operacao,2015-01-08,0.0,real,por evento,33042151
0805,rescisão contratual (quitação antecipada),por operacao,2005-04-15,200.0,real,por evento,33042151
0901,segunda via de documento,por copia,2017-09-17,10.0,real,por evento,33042151
1001,exportação: edição de contrato de câmbio,por operacao,2017-11-10,96.0,real,por evento,33042151
1003,exportação: liquidação com ordem de pagamento,por operacao,2017-11-10,0.12,percentual,por evento,33042151
1004,exportação: conferência de documentos,por operacao,2017-11-10,0.12,percentual,por evento,33042151
1005,exportação: câmbio simplicado (todas as despesas do cliente no banco),por operacao,2017-11-10,0.0,real,por evento,33042151
1006,importação: edição de contrato de câmbio,por operacao,2017-11-10,96.0,real,por evento,33042151
1007,importação: emissão de ordem de pagamento,por operacao,2017-11-10,0.2,percentual,por evento,33042151
1008,importação: demais tarifas (não incluem despesas no exteior),por operacao,2017-11-10,160.0,real,por evento,33042151
1009,importação: câmbio simplificado(todas as despesas do cliente no banco),por operacao,2017-11-10,0.0,real,por evento,33042151
1010,financeiro -ingresso de recursos: edição de contrato de câmbio,por operacao,2017-11-10,96.0,real,por evento,33042151
1012,financeiro -ingresso de recursos: liquidação com ordem de pagamento,por operacao,2017-11-10,0.3,percentual,por evento,33042151
1013,financeiro - ingresso de recursos: confecção de rof,por operacao,2004-07-01,500.0,real,por evento,33042151
1014,financeiro - ingresso de recursos : confecção de esquema de rof,por operacao,2004-07-01,500.0,real,por evento,33042151
1016,financeiro -remessa de recursos: edição de contrato de câmbio,por operacao,2017-11-10,96.0,real,por evento,33042151
1018,financeiro - remessa de recursos: emissão de ordem de pagamento,por operacao,2017-11-10,0.3,percentual,por evento,33042151
1019,financeiro - remessa de recursos: alteração de rof,por operacao,2009-12-24,250.0,real,por evento,33042151
0101,confecção de ficha cadastral,por cliente,2018-09-01,45.0,real,por evento,13009717
0102,renovação de ficha cadastral,por cliente,2018-09-01,45.0,real,a cada 180 dias,13009717
0103,consultas a serviços de proteção ao crédito,por consulta,2020-09-01,0.0,real,por evento,13009717
0201,"comum, para débito, saque e consultas",por cartao,2022-03-01,10.0,real,a cada 1440 dias,13009717
0203,"débito, saque e garantia de cheque-confecção do cartão",por cartao,2018-09-01,9.0,real,por evento,13009717
0205,cartão multiplo-nacional-confecção do cartão,por cartao,2022-03-01,10.0,real,por evento,13009717
0209,cartão multiplo adicional-nacional-confecção do cartão,por cartao,2022-03-01,10.0,real,por evento,13009717
0301,talão-10 folhas,por talao,2018-09-01,25.0,real,por evento,13009717
0302,talão-20 folhas (segundo talão no mês),por talao,2018-09-01,50.0,real,por evento,13009717
0303,cheque administrativo,por cheque,2018-03-01,30.0,real,por evento,13009717
0304,cheque avulso,por cheque,2017-09-01,3.85,real,por evento,13009717
0305,cheque devolvido por insuficiência de fundos,por cheque,2019-03-01,58.0,real,por evento,13009717
0306,oposição/sustação de pagamento de cheque,por cheque,2017-09-14,15.0,real,por evento,13009717
0309,exclusão do cadastro de cheques sem fundo,por cheque,2017-09-14,60.0,real,por evento,13009717
0311,cheque tb (transferência bancária sem cpmf),por cheque,2011-08-15,1.2,real,por evento,13009717
0312,"cheque administrativo com vl.igual ou superior a r$5.000,00 (vl.fx.+%)",por cheque,2018-09-01,30.0,real,por evento,13009717
0313,"cobrança de cheque por compensação com vl. = ou > r$ 5.000,00(vl.fx+%)",por cheque,2002-12-30,0.05,percentual,por evento,13009717
0314,"cheque tb com valor igual ou superior r$ 5.000,00 (vl.fixo + %)",por cheque,2002-12-30,0.05,percentual,por evento,13009717
0401,abertura de conta,por conta,1996-07-25,0.0,real,por evento,13009717
0402,manutenção de conta ativa,por conta,2022-03-01,45.0,real,a cada 30 dias,13009717
0403,manutenção de conta inativa,por conta,2015-08-10,20.0,real,a cada 30 dias,13009717
0404,"adiant. a deposit., incl. excesso limite de ch. especial",por operacao,2020-09-01,100.0,real,por evento,13009717
0405,concessão de cheque especial/conta garantida,por conta,2010-02-14,400.0,real,por evento,13009717
0406,renovação de cheque especial/conta garantida,por conta,2015-08-10,250.0,real,a cada 180 dias,13009717
0407,débito autorizado em conta-corrente,por operacao,2018-09-01,5.0,real,por evento,13009717
0501,saque em caixa automática externa/banco 24 horas,por saque,2018-09-01,8.0,real,por evento,13009717
0502,emissão de doc c,por operacao,2020-03-01,20.0,real,por evento,13009717
0503,emissão de doc d,por operacao,2020-03-01,20.0,real,por evento,13009717
0504,ordem de pagamento,por operacao,2020-09-01,35.0,real,por evento,13009717
0505,depósito em outra agência,por operacao,1996-07-25,0.0,real,por evento,13009717
0506,transferência eletrônica disponível - ted,por operacao,2022-03-01,20.0,real,por evento,13009717
0601,em terminal  eletrônico,por emissao,2018-09-01,6.0,real,por evento,13009717
0602,por outros meios,por emissao,2020-03-01,6.0,real,por evento,13009717
0603,"cópias de microfilmes, microfichas ou assemelhados",por emissao,2020-03-01,9.5,real,por evento,13009717
0701,entrada por borderô (listagem de titulos),por titulo,1997-01-22,4.0,real,por evento,13009717
0702,entrada por meio magnético,por titulo,1997-01-22,4.0,real,por evento,13009717
0703,entrada sem registro - por boleto emitido pelo cliente,por titulo,1997-01-22,2.5,real,por evento,13009717
0704,manutenção de título vencido,por titulo,2019-03-01,6.0,real,a cada 30 dias,13009717
0705,envio para protesto,por titulo,2016-08-15,12.0,real,por evento,13009717
0706,sustação de protesto,por titulo,2022-03-01,10.0,real,por evento,13009717
0801,abertura de crédito,por operacao,2016-08-15,2000.0,real,por evento,13009717
0802,renegociação de dívida,por operacao,2015-08-10,500.0,real,por evento,13009717
0803,substituição de garantia,por operacao,2020-03-01,800.0,real,por evento,13009717
0804,custódia de cheque pré-datado,por operacao,2017-09-01,5.0,real,por evento,13009717
0805,rescisão contratual (quitação antecipada),por operacao,2015-08-10,0.0,real,por evento,13009717
0901,segunda via de documento,por copia,2017-09-01,15.0,real,por evento,13009717
0905,pagamento de funcionários via relação,por funcionario,2020-09-01,3.5,real,por evento,13009717
0906,pagamento de funcionários via meio magnético,por funcionario,2010-02-14,2.5,real,por evento,13009717
1001,exportação: edição de contrato de câmbio,por operacao,2010-09-13,0.0,real,por evento,04866275
1002,exportação: edição de contrato de câmbio via internet,por operacao,2010-09-13,0.0,real,por evento,04866275
1003,exportação: liquidação com ordem de pagamento,por operacao,2010-09-13,0.0,real,por evento,04866275
1004,exportação: conferência de documentos,por operacao,2010-09-13,0.0,real,por evento,04866275
1005,exportação: câmbio simplicado (todas as despesas do cliente no banco),por operacao,2010-09-13,0.0,real,por evento,04866275
1006,importação: edição de contrato de câmbio,por operacao,2010-09-13,0.0,real,por evento,04866275
1007,importação: emissão de ordem de pagamento,por operacao,2010-09-13,0.0,real,por evento,04866275
1008,importação: demais tarifas (não incluem despesas no exteior),por operacao,2010-09-13,0.0,real,por evento,04866275
1009,importação: câmbio simplificado(todas as despesas do cliente no banco),por operacao,2010-09-13,0.0,real,por evento,04866275
1010,financeiro -ingresso de recursos: edição de contrato de câmbio,por operacao,2010-09-13,0.0,real,por evento,04866275
1011,financeiro-ingresso de recursos:edição de cont. de câmbio via internet,por operacao,2010-09-13,0.0,real,por evento,04866275
1012,financeiro -ingresso de recursos: liquidação com ordem de pagamento,por operacao,2010-09-13,0.0,real,por evento,04866275
1014,financeiro - ingresso de recursos : confecção de esquema de rof,por operacao,2010-09-13,0.0,real,por evento,04866275
1015,financeiro - ingresso de recursos: confecção de cadastro no cademp,por operacao,2010-09-13,0.0,real,por evento,04866275
1016,financeiro -remessa de recursos: edição de contrato de câmbio,por operacao,2010-09-13,0.0,real,por evento,04866275
1017,financeiro-remessa de recursos: edição de cont. de câmbio via internet,por operacao,2010-09-13,0.0,real,por evento,04866275
1018,financeiro - remessa de recursos: emissão de ordem de pagamento,por operacao,2010-09-13,0.0,real,por evento,04866275
1019,financeiro - remessa de recursos: alteração de rof,por operacao,2010-09-13,0.0,real,por evento,04866275
0101,confecção de ficha cadastral,por cliente,2016-05-12,2500.0,real,por evento,00517645
0102,renovação de ficha cadastral,por cliente,2008-04-30,500.0,real,a cada 180 dias,00517645
0103,consultas a serviços de proteção ao crédito,por consulta,2016-05-12,500.0,real,por evento,00517645
0204,cartão multiplo-nacional-anuidade do contrato,por cartao,2000-03-20,0.0,real,a cada 0 dias,00517645
0205,cartão multiplo-nacional-confecção do cartão,por cartao,2008-03-31,0.0,real,por evento,00517645
0206,cartão multiplo-internacional-anuidade do contrato,por cartao,2000-03-20,0.0,real,a cada 0 dias,00517645
0207,cartão multiplo-internacional-confecção do cartão,por cartao,2008-03-31,0.0,real,por evento,00517645
0208,cartão multiplo adicional-nacional-anuidade do contrato,por cartao,2008-03-31,0.0,real,a cada 0 dias,00517645
0209,cartão multiplo adicional-nacional-confecção do cartão,por cartao,2008-03-31,0.0,real,por evento,00517645
0210,cartão multiplo adicional-intern.-anuidade do contrato,por cartao,2008-03-31,0.0,real,a cada 0 dias,00517645
0211,cartão multiplo adicional-intern.-confecção do cartão,por cartao,2008-03-31,0.0,real,por evento,00517645
0301,talão-10 folhas,por talao,2000-03-20,0.0,real,por evento,00517645
0302,talão-20 folhas (segundo talão no mês),por talao,2000-03-20,0.0,real,por evento,00517645
0303,cheque administrativo,por cheque,2016-05-12,1000.0,real,por evento,00517645
0304,cheque avulso,por cheque,2016-05-12,0.0,real,por evento,00517645
0305,cheque devolvido por insuficiência de fundos,por cheque,2000-03-20,0.0,real,por evento,00517645
0306,oposição/sustação de pagamento de cheque,por cheque,2000-03-20,0.0,real,por evento,00517645
0308,inclusão no cadastro de cheques sem fundo,por cheque,2000-03-20,0.0,real,por evento,00517645
0309,exclusão do cadastro de cheques sem fundo,por cheque,2000-03-20,0.0,real,por evento,00517645
0310,cobrança de cheque por compensação,por cheque,2000-03-20,0.0,real,por evento,00517645
0311,cheque tb (transferência bancária sem cpmf),por cheque,2000-03-20,0.0,real,por evento,00517645
0312,"cheque administrativo com vl.igual ou superior a r$5.000,00 (vl.fx.+%)",por cheque,2003-02-05,0.16,percentual,por evento,00517645
0401,abertura de conta,por conta,2016-05-12,100.0,real,por evento,00517645
0402,manutenção de conta ativa,por conta,2016-05-12,500.0,real,a cada 30 dias,00517645
0403,manutenção de conta inativa,por conta,2016-05-12,500.0,real,a cada 30 dias,00517645
0404,"adiant. a deposit., incl. excesso limite de ch. especial",por operacao,2016-05-12,300.0,real,por evento,00517645
0405,concessão de cheque especial/conta garantida,por conta,2016-05-12,2500.0,real,por evento,00517645
0406,renovação de cheque especial/conta garantida,por conta,2016-05-12,2500.0,real,a cada 90 dias,00517645
0407,débito autorizado em conta-corrente,por operacao,2016-05-12,30.0,real,por evento,00517645
0408,banco domestico-conta principal (com limite de acessos),por conta,2008-03-31,0.0,real,a cada 0 dias,00517645
0409,banco doméstico-conta secundária (com limite de acessos),por conta,2008-03-31,0.0,real,a cada 0 dias,00517645
0502,emissão de doc c,por operacao,2016-05-12,100.0,real,por evento,00517645
0503,emissão de doc d,por operacao,2016-05-12,100.0,real,por evento,00517645
0504,ordem de pagamento,por operacao,2000-03-20,0.0,real,por evento,00517645
0505,depósito em outra agência,por operacao,2000-03-20,0.0,real,por evento,00517645
0506,transferência eletrônica disponível - ted,por operacao,2016-05-12,100.0,real,por evento,00517645
0602,por outros meios,por emissao,2016-05-12,50.0,real,por evento,00517645
0603,"cópias de microfilmes, microfichas ou assemelhados",por emissao,2016-05-12,50.0,real,por evento,00517645
0701,entrada por borderô (listagem de titulos),por titulo,2016-05-12,50.0,real,por evento,00517645
0702,entrada por meio magnético,por titulo,2016-05-12,50.0,real,por evento,00517645
0703,entrada sem registro - por boleto emitido pelo cliente,por titulo,2016-05-12,0.0,real,por evento,00517645
0704,manutenção de título vencido,por titulo,2016-05-12,0.0,real,a cada 0 dias,00517645
0705,envio para protesto,por titulo,2016-05-12,100.0,real,por evento,00517645
0706,sustação de protesto,por titulo,2016-05-12,50.0,real,por evento,00517645
0707,devolução de título,por titulo,2016-05-12,50.0,real,por evento,00517645
0801,abertura de crédito,por operacao,2019-05-07,1000.0,real,por evento,00517645
0802,renegociação de dívida,por operacao,2016-05-12,10000.0,real,por evento,00517645
0803,substituição de garantia,por operacao,2016-05-12,5000.0,real,por evento,00517645
0804,custódia de cheque pré-datado,por operacao,2016-05-12,100.0,real,por evento,00517645
0805,rescisão contratual (quitação antecipada),por operacao,2012-12-21,5.0,percentual,por evento,00517645
0901,segunda via de documento,por copia,2016-05-12,100.0,real,por evento,00517645
0902,ressarcimento de despesas-telefonema,por chamada,2016-05-12,0.0,real,por evento,00517645
0903,ressarcimento de despesas-fax,por folha,2016-05-12,0.0,real,por evento,00517645
0904,envelopamento de documentos,por envelope,2016-05-12,100.0,real,por evento,00517645
0905,pagamento de funcionários via relação,por funcionario,2016-05-12,25.0,real,por evento,00517645
0906,pagamento de funcionários via meio magnético,por funcionario,2016-05-12,25.0,real,por evento,00517645
0101,confecção de ficha cadastral,por cliente,2017-08-21,10000.0,real,por evento,09313766
0102,renovação de ficha cadastral,por cliente,2017-08-21,2000.0,real,a cada 360 dias,09313766
0103,consultas a serviços de proteção ao crédito,por consulta,2011-08-11,100.0,real,por evento,09313766
0401,abertura de conta,por conta,2021-10-20,0.0,real,por evento,09313766
0402,manutenção de conta ativa,por conta,2021-10-20,20000.0,real,a cada 30 dias,09313766
0403,manutenção de conta inativa,por conta,2021-10-20,20000.0,real,a cada 30 dias,09313766
0502,emissão de doc c,por operacao,2021-10-15,100.0,real,por evento,09313766
0503,emissão de doc d,por operacao,2021-10-15,100.0,real,por evento,09313766
0506,transferência eletrônica disponível - ted,por operacao,2021-10-15,100.0,real,por evento,09313766
0702,entrada por meio magnético,por titulo,2011-01-01,150.0,real,por evento,09313766
0801,abertura de crédito,por operacao,2017-04-04,2.0,percentual,por evento,09313766
0802,renegociação de dívida,por operacao,2017-04-04,2.0,percentual,por evento,09313766
0803,substituição de garantia,por operacao,2011-08-11,2000.0,real,por evento,09313766
0805,rescisão contratual (quitação antecipada),por operacao,2012-05-11,0.0,real,por evento,09313766
0905,pagamento de funcionários via relação,por funcionario,2021-07-02,0.4,percentual,por evento,09313766
0906,pagamento de funcionários via meio magnético,por funcionario,2021-07-02,0.4,percentual,por evento,09313766
0101,confecção de ficha cadastral,por cliente,2021-05-07,500.0,real,por evento,11271860
0506,transferência eletrônica disponível - ted,por operacao,2016-08-08,50.0,real,por evento,11271860
0801,abertura de crédito,por operacao,2021-05-07,800.0,real,por evento,11271860
0802,renegociação de dívida,por operacao,2021-05-07,500.0,real,por evento,11271860
0901,segunda via de documento,por copia,2021-05-07,100.0,real,por evento,11271860
0102,renovação de ficha cadastral,por cliente,2017-08-02,0.0,real,a cada 0 dias,27351731
0101,confecção de ficha cadastral,por cliente,2010-04-01,1000.0,real,por evento,09473806
0102,renovação de ficha cadastral,por cliente,2010-04-01,1000.0,real,a cada 180 dias,09473806
0103,consultas a serviços de proteção ao crédito,por consulta,2010-04-01,0.0,real,por evento,09473806
0704,manutenção de título vencido,por titulo,2009-12-09,1000.0,real,a cada 30 dias,09473806
0801,abertura de crédito,por operacao,2009-12-09,500.0,real,por evento,09473806
0101,confecção de ficha cadastral,por cliente,2018-01-11,20000.0,real,por evento,795423
0102,renovação de ficha cadastral,por cliente,2016-04-04,200.0,real,a cada 180 dias,795423
0103,consultas a serviços de proteção ao crédito,por consulta,2016-04-04,50.0,real,por evento,795423
0303,cheque administrativo,por cheque,2016-04-04,50.0,real,por evento,795423
0401,abertura de conta,por conta,1996-09-13,0.0,real,por evento,795423
0402,manutenção de conta ativa,por conta,2017-11-09,1000.0,real,a cada 30 dias,795423
0403,manutenção de conta inativa,por conta,2013-10-10,100.0,real,a cada 180 dias,795423
0404,"adiant. a deposit., incl. excesso limite de ch. especial",por operacao,2016-04-04,50.0,real,por evento,795423
0405,concessão de cheque especial/conta garantida,por conta,2016-04-04,60.0,real,por evento,795423
0406,renovação de cheque especial/conta garantida,por conta,2016-04-04,60.0,real,a cada 90 dias,795423
0407,débito autorizado em conta-corrente,por operacao,2016-04-04,3.0,real,por evento,795423
0502,emissão de doc c,por operacao,2015-05-07,40.0,real,por evento,795423
0503,emissão de doc d,por operacao,2015-05-07,40.0,real,por evento,795423
0504,ordem de pagamento,por operacao,2015-05-07,40.0,real,por evento,795423
0506,transferência eletrônica disponível - ted,por operacao,2015-05-07,40.0,real,por evento,795423
0602,por outros meios,por emissao,2016-04-04,5.0,real,por evento,795423
0701,entrada por borderô (listagem de titulos),por titulo,2016-04-04,10.0,real,por evento,795423
0702,entrada por meio magnético,por titulo,2005-08-01,6.0,real,por evento,795423
0703,entrada sem registro - por boleto emitido pelo cliente,por titulo,1996-09-13,4.0,real,por evento,795423
0704,manutenção de título vencido,por titulo,2016-04-04,5.0,real,a cada 30 dias,795423
0705,envio para protesto,por titulo,2016-04-04,9.0,real,por evento,795423
0706,sustação de protesto,por titulo,2016-04-04,9.0,real,por evento,795423
0707,devolução de título,por titulo,1996-09-13,6.0,real,por evento,795423
0801,abertura de crédito,por operacao,2015-07-09,15000.0,real,por evento,795423
0802,renegociação de dívida,por operacao,2015-07-09,15000.0,real,por evento,795423
0803,substituição de garantia,por operacao,2016-04-04,2000.0,real,por evento,795423
0804,custódia de cheque pré-datado,por operacao,2015-05-07,2.0,real,por evento,795423
0805,rescisão contratual (quitação antecipada),por operacao,2008-04-30,0.0,real,por evento,795423
0901,segunda via de documento,por copia,2016-04-04,6.0,real,por evento,795423
0902,ressarcimento de despesas-telefonema,por chamada,2016-04-04,8.0,real,por evento,795423
0903,ressarcimento de despesas-fax,por folha,2016-04-04,8.0,real,por evento,795423
0904,envelopamento de documentos,por envelope,2016-04-04,2.0,real,por evento,795423
0905,pagamento de funcionários via relação,por funcionario,2005-05-01,3.0,real,por evento,795423
0101,confecção de ficha cadastral,por cliente,2017-08-21,10000.0,real,por evento,9313766
0102,renovação de ficha cadastral,por cliente,2017-08-21,2000.0,real,a cada 360 dias,9313766
0103,consultas a serviços de proteção ao crédito,por consulta,2011-08-11,100.0,real,por evento,9313766
0401,abertura de conta,por conta,2021-10-20,0.0,real,por evento,9313766
0402,manutenção de conta ativa,por conta,2021-10-20,20000.0,real,a cada 30 dias,9313766
0403,manutenção de conta inativa,por conta,2021-10-20,20000.0,real,a cada 30 dias,9313766
0502,emissão de doc c,por operacao,2021-10-15,100.0,real,por evento,9313766
0503,emissão de doc d,por operacao,2021-10-15,100.0,real,por evento,9313766
0506,transferência eletrônica disponível - ted,por operacao,2021-10-15,100.0,real,por evento,9313766
0702,entrada por meio magnético,por titulo,2011-01-01,150.0,real,por evento,9313766
0801,abertura de crédito,por operacao,2017-04-04,2.0,percentual,por evento,9313766
0802,renegociação de dívida,por operacao,2017-04-04,2.0,percentual,por evento,9313766
0803,substituição de garantia,por operacao,2011-08-11,2000.0,real,por evento,9313766
0805,rescisão contratual (quitação antecipada),por operacao,2012-05-11,0.0,real,por evento,9313766
0905,pagamento de funcionários via relação,por funcionario,2021-07-02,0.4,percentual,por evento,9313766
0906,pagamento de funcionários via meio magnético,por funcionario,2021-07-02,0.4,percentual,por evento,9313766
0101,confecção de ficha cadastral,por cliente,2012-07-23,1000.0,real,por evento,1800019
0102,renovação de ficha cadastral,por cliente,2012-07-23,1000.0,real,a cada 180 dias,1800019
0103,consultas a serviços de proteção ao crédito,por consulta,2008-04-30,1000.0,real,por evento,1800019
0313,"cobrança de cheque por compensação com vl. = ou > r$ 5.000,00(vl.fx+%)",por cheque,2008-04-30,2500.0,real,por evento,1800019
0401,abertura de conta,por conta,2012-12-31,0.0,real,por evento,1800019
0502,emissão de doc c,por operacao,2010-12-31,20.0,real,por evento,1800019
0503,emissão de doc d,por operacao,2010-12-31,20.0,real,por evento,1800019
0504,ordem de pagamento,por operacao,2008-04-30,100.0,real,por evento,1800019
0506,transferência eletrônica disponível - ted,por operacao,2010-12-31,20.0,real,por evento,1800019
0602,por outros meios,por emissao,2008-04-30,0.0,real,por evento,1800019
0603,"cópias de microfilmes, microfichas ou assemelhados",por emissao,2008-04-30,10.0,real,por evento,1800019
0704,manutenção de título vencido,por titulo,1997-04-25,10.0,real,a cada 30 dias,1800019
0705,envio para protesto,por titulo,1997-04-25,10.0,real,por evento,1800019
0706,sustação de protesto,por titulo,1997-04-25,10.0,real,por evento,1800019
